,Missed_States
0,Alaska
1,Arizona
2,Arkansas
3,Colorado
4,Connecticut
5,Delaware
6,Florida
7,Georgia
8,Hawaii
9,Idaho
10,Illinois
11,Indiana
12,Iowa
13,Kansas
14,Louisiana
15,Maine
16,Massachusetts
17,Michigan
18,Minnesota
19,Mississippi
20,Missouri
21,Montana
22,Nebraska
23,Nevada
24,New Hampshire
25,New Jersey
26,New Mexico
27,North Carolina
28,North Dakota
29,Oklahoma
30,Oregon
31,Pennsylvania
32,Rhode Island
33,South Carolina
34,South Dakota
35,Tennessee
36,Vermont
37,Virginia
38,West Virginia
39,Wyoming
